::1 - - [18/Sep/2022:15:00:56 +0000] "POST /core/.env HTTP/1.0" 404 149 "-" "url"
::ffff:127.0.0.1 - - [18/Sep/2022:15:08:44 +0000] "GET /.env HTTP/1.0" 404 143 "-" "python-requests/2.27.1"
::1 - - [18/Sep/2022:15:08:45 +0000] "POST / HTTP/1.0" 404 140 "-" "url"
::ffff:127.0.0.1 - - [18/Sep/2022:15:08:46 +0000] "POST /core/.env HTTP/1.0" 404 149 "-" "url"
::1 - - [18/Sep/2022:15:08:46 +0000] "GET /core/.env HTTP/1.0" 404 148 "-" "python-requests/2.27.1"
::ffff:127.0.0.1 - - [18/Sep/2022:15:08:47 +0000] "POST / HTTP/1.0" 404 140 "-" "url"
::1 - - [18/Sep/2022:15:08:48 +0000] "POST /core/.env HTTP/1.0" 404 149 "-" "url"
::ffff:127.0.0.1 - - [18/Sep/2022:15:20:08 +0000] "GET /api/v1/users/undefined HTTP/1.0" 500 250 "-" "Career%20developer/1.1.1 CFNetwork/1335.0.3 Darwin/21.6.0"
::1 - - [18/Sep/2022:15:20:08 +0000] "GET /api/v1/headerBanners?limit=10 HTTP/1.0" 304 - "-" "Career%20developer/1.1.1 CFNetwork/1335.0.3 Darwin/21.6.0"
::ffff:127.0.0.1 - - [18/Sep/2022:15:20:08 +0000] "GET /api/v1/works?select=createdAt&sort=-createdAt&limit=1 HTTP/1.0" 304 - "-" "Career%20developer/1.1.1 CFNetwork/1335.0.3 Darwin/21.6.0"
::ffff:127.0.0.1 - - [18/Sep/2022:15:20:08 +0000] "GET /api/v1/works?limit=100 HTTP/1.0" 200 11727 "-" "Career%20developer/1.1.1 CFNetwork/1335.0.3 Darwin/21.6.0"
::1 - - [18/Sep/2022:15:20:09 +0000] "GET /api/v1/magazines?limit=50 HTTP/1.0" 200 194113 "-" "Career%20developer/1.1.1 CFNetwork/1335.0.3 Darwin/21.6.0"
::ffff:127.0.0.1 - - [18/Sep/2022:15:20:50 +0000] "GET /.env HTTP/1.0" 404 143 "-" "python-requests/2.27.1"
::1 - - [18/Sep/2022:15:20:51 +0000] "POST / HTTP/1.0" 404 140 "-" "url"
::ffff:127.0.0.1 - - [18/Sep/2022:15:20:52 +0000] "POST /core/.env HTTP/1.0" 404 149 "-" "url"
::1 - - [18/Sep/2022:15:20:52 +0000] "GET /core/.env HTTP/1.0" 404 148 "-" "python-requests/2.27.1"
::ffff:127.0.0.1 - - [18/Sep/2022:15:20:53 +0000] "POST / HTTP/1.0" 404 140 "-" "url"
::1 - - [18/Sep/2022:15:20:54 +0000] "POST /core/.env HTTP/1.0" 404 149 "-" "url"
::ffff:127.0.0.1 - - [18/Sep/2022:15:33:53 +0000] "GET /.env HTTP/1.0" 404 143 "-" "python-requests/2.27.1"
::1 - - [18/Sep/2022:15:33:54 +0000] "POST / HTTP/1.0" 404 140 "-" "url"
::ffff:127.0.0.1 - - [18/Sep/2022:15:33:55 +0000] "POST /core/.env HTTP/1.0" 404 149 "-" "url"
::1 - - [18/Sep/2022:15:33:55 +0000] "GET /core/.env HTTP/1.0" 404 148 "-" "python-requests/2.27.1"
::ffff:127.0.0.1 - - [18/Sep/2022:15:33:56 +0000] "POST / HTTP/1.0" 404 140 "-" "url"
::1 - - [18/Sep/2022:15:33:57 +0000] "POST /core/.env HTTP/1.0" 404 149 "-" "url"
::ffff:127.0.0.1 - - [18/Sep/2022:15:38:56 +0000] "GET /api/v1/users/undefined HTTP/1.0" 500 250 "-" "Career%20developer/1.1.1 CFNetwork/1327.0.4 Darwin/21.2.0"
::1 - - [18/Sep/2022:15:38:56 +0000] "GET /api/v1/works?select=createdAt&sort=-createdAt&limit=1 HTTP/1.0" 304 - "-" "Career%20developer/1.1.1 CFNetwork/1327.0.4 Darwin/21.2.0"
::ffff:127.0.0.1 - - [18/Sep/2022:15:38:56 +0000] "GET /api/v1/headerBanners?limit=10 HTTP/1.0" 304 - "-" "Career%20developer/1.1.1 CFNetwork/1327.0.4 Darwin/21.2.0"
::ffff:127.0.0.1 - - [18/Sep/2022:15:38:56 +0000] "GET /api/v1/works?limit=100 HTTP/1.0" 304 - "-" "Career%20developer/1.1.1 CFNetwork/1327.0.4 Darwin/21.2.0"
::1 - - [18/Sep/2022:15:38:56 +0000] "GET /api/v1/magazines?limit=50 HTTP/1.0" 200 194113 "-" "Career%20developer/1.1.1 CFNetwork/1327.0.4 Darwin/21.2.0"
::ffff:127.0.0.1 - - [18/Sep/2022:15:46:50 +0000] "GET /.env HTTP/1.0" 404 143 "-" "python-requests/2.27.1"
::1 - - [18/Sep/2022:15:46:50 +0000] "POST / HTTP/1.0" 404 140 "-" "url"
::ffff:127.0.0.1 - - [18/Sep/2022:15:46:51 +0000] "POST /core/.env HTTP/1.0" 404 149 "-" "url"
::1 - - [18/Sep/2022:15:46:52 +0000] "GET /core/.env HTTP/1.0" 404 148 "-" "python-requests/2.27.1"
::ffff:127.0.0.1 - - [18/Sep/2022:15:46:52 +0000] "POST / HTTP/1.0" 404 140 "-" "url"
::1 - - [18/Sep/2022:15:46:53 +0000] "POST /core/.env HTTP/1.0" 404 149 "-" "url"
::ffff:127.0.0.1 - - [18/Sep/2022:15:53:58 +0000] "GET /api/v1/users/undefined HTTP/1.0" 500 250 "-" "Career%20developer/1.1.1 CFNetwork/1390 Darwin/22.0.0"
::1 - - [18/Sep/2022:15:53:58 +0000] "GET /api/v1/works?limit=100 HTTP/1.0" 200 11727 "-" "Career%20developer/1.1.1 CFNetwork/1390 Darwin/22.0.0"
::ffff:127.0.0.1 - - [18/Sep/2022:15:53:58 +0000] "GET /api/v1/works?select=createdAt&sort=-createdAt&limit=1 HTTP/1.0" 200 237 "-" "Career%20developer/1.1.1 CFNetwork/1390 Darwin/22.0.0"
::1 - - [18/Sep/2022:15:53:58 +0000] "GET /api/v1/headerBanners?limit=10 HTTP/1.0" 200 766 "-" "Career%20developer/1.1.1 CFNetwork/1390 Darwin/22.0.0"
::ffff:127.0.0.1 - - [18/Sep/2022:15:53:58 +0000] "GET /api/v1/magazines?limit=50 HTTP/1.0" 200 194113 "-" "Career%20developer/1.1.1 CFNetwork/1390 Darwin/22.0.0"
::ffff:127.0.0.1 - - [18/Sep/2022:15:54:07 +0000] "GET /api/v1/users/undefined HTTP/1.0" 500 250 "-" "Career%20developer/1.1.1 CFNetwork/1390 Darwin/22.0.0"
::1 - - [18/Sep/2022:15:54:15 +0000] "GET /api/v1/users/undefined HTTP/1.0" 500 250 "-" "Career%20developer/1.1.1 CFNetwork/1390 Darwin/22.0.0"
::ffff:127.0.0.1 - - [18/Sep/2022:15:58:19 +0000] "GET /.env HTTP/1.0" 404 143 "-" "python-requests/2.27.1"
::1 - - [18/Sep/2022:15:58:19 +0000] "POST / HTTP/1.0" 404 140 "-" "url"
::ffff:127.0.0.1 - - [18/Sep/2022:15:58:20 +0000] "POST /core/.env HTTP/1.0" 404 149 "-" "url"
::1 - - [18/Sep/2022:15:58:21 +0000] "GET /core/.env HTTP/1.0" 404 148 "-" "python-requests/2.27.1"
::ffff:127.0.0.1 - - [18/Sep/2022:15:58:21 +0000] "POST / HTTP/1.0" 404 140 "-" "url"
::1 - - [18/Sep/2022:15:58:22 +0000] "POST /core/.env HTTP/1.0" 404 149 "-" "url"
::ffff:127.0.0.1 - - [18/Sep/2022:16:07:19 +0000] "GET /asT4 HTTP/1.0" 404 143 "-" "Mozilla/5.0 zgrab/0.x"
::1 - - [18/Sep/2022:16:07:20 +0000] "GET /wN5c HTTP/1.0" 404 143 "-" "Mozilla/5.0 zgrab/0.x"
::ffff:127.0.0.1 - - [18/Sep/2022:17:01:49 +0000] "GET /robots.txt HTTP/1.0" 404 149 "-" "panscient.com"
::ffff:127.0.0.1 - - [18/Sep/2022:17:35:50 +0000] "POST /vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php HTTP/1.0" 404 190 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
::ffff:127.0.0.1 - - [18/Sep/2022:17:42:48 +0000] "GET /api/v1/articles?limit=3&sort=-createdAt HTTP/1.0" 200 26380 "https://www.icareer.mn/" "Mozilla/5.0 (iPhone; CPU iPhone OS 15_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/19G82 [FBAN/FBIOS;FBDV/iPhone10,4;FBMD/iPhone;FBSN/iOS;FBSV/15.6.1;FBSS/2;FBID/phone;FBLC/en_US;FBOP/5]"
::1 - - [18/Sep/2022:18:17:54 +0000] "GET /robots.txt HTTP/1.0" 404 149 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
::ffff:127.0.0.1 - - [18/Sep/2022:18:27:05 +0000] "GET /favicon.ico HTTP/1.0" 404 150 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36"
::ffff:127.0.0.1 - - [18/Sep/2022:18:27:13 +0000] "GET /favicon.ico HTTP/1.0" 404 150 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36"
::1 - - [18/Sep/2022:18:52:23 +0000] "GET /vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php HTTP/1.0" 404 189 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
::1 - - [18/Sep/2022:20:05:40 +0000] "GET /index.php?s=/Index/\think\app/invokefunction&function=call_user_func_array&vars[0]=md5&vars[1][]=HelloThinkPHP21 HTTP/1.0" 404 148 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
::1 - - [18/Sep/2022:22:58:13 +0000] "GET /installer.php HTTP/1.0" 404 152 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:79.0) Gecko/20100101 Firefox/79.0"
::ffff:127.0.0.1 - - [18/Sep/2022:23:13:37 +0000] "POST /mifs/.;/services/LogService HTTP/1.0" 404 167 "https://174.138.19.161:443" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
::ffff:127.0.0.1 - - [18/Sep/2022:23:48:31 +0000] "GET /.env HTTP/1.0" 404 143 "-" "Mozilla/5.0 (Linux; U; Android 4.4.2; en-US; HM NOTE 1W Build/KOT49H) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 UCBrowser/11.0.5.850 U3/0.8.0 Mobile Safari/534.30"
